"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
40471017282-57,"Samsung Electronics Europe",12.75,3500000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,9,84,50,https://www.lobbyfacts.eu/datacard/samsung-electronics-europe?rid=40471017282-57
4266797770-31,"Siemens AG",8.65,3500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,10,146,146,https://www.lobbyfacts.eu/datacard/siemens-ag?rid=4266797770-31
64270747023-20,DIGITALEUROPE,26.7,3500000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,32,243,261,https://www.lobbyfacts.eu/datacard/digitaleurope?rid=64270747023-20
3843982938-44,Penta,27.75,3480000,"Advances interests of their clients","UNITED STATES",BELGIUM,11,294,47,https://www.lobbyfacts.eu/datacard/penta?rid=3843982938-44
31367501249-92,"EPPA SA",32.5,3460000,"Advances interests of their clients",BELGIUM,BELGIUM,17,198,34,https://www.lobbyfacts.eu/datacard/eppa-sa?rid=31367501249-92
91124993695-29,"Teneo Brussels",13.5,3425000,"Advances interests of their clients","UNITED STATES",BELGIUM,14,280,48,https://www.lobbyfacts.eu/datacard/teneo-brussels?rid=91124993695-29
522122412613-18,NOVE,20.1,3165000,"Advances interests of their clients",BELGIUM,BELGIUM,28,259,39,https://www.lobbyfacts.eu/datacard/nove?rid=522122412613-18
642553231622-95,"FGS Global (Belgium) BV",40,3160000,"Advances interests of their clients",BELGIUM,BELGIUM,19,56,15,https://www.lobbyfacts.eu/datacard/fgs-global-belgium-bv?rid=642553231622-95
0767788931-41,"Bundesverband Öffentlicher Banken Deutschlands eV",19.25,3000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,63,36,https://www.lobbyfacts.eu/datacard/bundesverband-öffentlicher-banken-deutschlands-ev?rid=0767788931-41
1849405799-88,"TotalEnergies SE",4.25,3000000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,8,107,112,https://www.lobbyfacts.eu/datacard/totalenergies-se?rid=1849405799-88
19920706471-21,WindEurope,14.75,3000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,15,108,152,https://www.lobbyfacts.eu/datacard/windeurope?rid=19920706471-21
483024821178-51,"Chamber of Commerce of the United States of America",5.45,3000000,"Promotes their own interests or the collective interests of their members","UNITED STATES","UNITED STATES",,1,61,https://www.lobbyfacts.eu/datacard/chamber-of-commerce-of-the-united-states-of-america?rid=483024821178-51
68037017809-51,"Edelman Public Relations Worldwide",25,2785000,"Advances interests of their clients",BELGIUM,BELGIUM,17,210,27,https://www.lobbyfacts.eu/datacard/edelman-public-relations-worldwide?rid=68037017809-51
22330076571-75,"Bundesverband der Deutschen Volksbanken und Raiffeisenbanken",12.9,2750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,7,28,37,https://www.lobbyfacts.eu/datacard/bundesverband-der-deutschen-volksbanken-und-raiffeisenbanken?rid=22330076571-75
296711210890-30,"Investment Company Institute",5.85,2750000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,5,44,48,https://www.lobbyfacts.eu/datacard/investment-company-institute?rid=296711210890-30
3373670692-24,"European Fund and Asset Management Association",13.35,2750000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,11,147,39,https://www.lobbyfacts.eu/datacard/european-fund-and-asset-management-association?rid=3373670692-24
51925911965-76,"Philip Morris International Inc.",4.9,2750000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,10,99,11,https://www.lobbyfacts.eu/datacard/philip-morris-international-inc?rid=51925911965-76
6437280268-55,"Gesamtverband der Deutschen Versicherungswirtschaft e.V.",13.3,2750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,10,123,82,https://www.lobbyfacts.eu/datacard/gesamtverband-der-deutschen-versicherungswirtschaft-ev?rid=6437280268-55
6504541970-40,"Volkswagen Aktiengesellschaft",15.95,2750000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,59,170,https://www.lobbyfacts.eu/datacard/volkswagen-aktiengesellschaft?rid=6504541970-40
26255464458-25,"Brunswick Group Limited srl",10,2610000,"Advances interests of their clients",BELGIUM,BELGIUM,21,315,46,https://www.lobbyfacts.eu/datacard/brunswick-group-limited-srl?rid=26255464458-25
54210841652-13,"Forward Global",25,2545000,"Advances interests of their clients",FRANCE,BELGIUM,17,109,70,https://www.lobbyfacts.eu/datacard/forward-global?rid=54210841652-13
0223480577-59,"International Capital Market Association",7.7,2500000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,2,7,34,https://www.lobbyfacts.eu/datacard/international-capital-market-association?rid=0223480577-59
04437556781-76,"Bristol-Myers Squibb Company",3.95,2500000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,7,69,13,https://www.lobbyfacts.eu/datacard/bristol-myers-squibb-company?rid=04437556781-76
38235121060-73,Dow,6.3,2500000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,4,48,106,https://www.lobbyfacts.eu/datacard/dow?rid=38235121060-73
4447605981-76,"Equinor ASA",6.8,2500000,"Promotes their own interests or the collective interests of their members",NORWAY,BELGIUM,5,66,97,https://www.lobbyfacts.eu/datacard/equinor-asa?rid=4447605981-76
48544465107-88,"DHL Group",8.8,2500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,102,88,https://www.lobbyfacts.eu/datacard/dhl-group?rid=48544465107-88
72760517350-57,"E.ON SE",9.05,2500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,81,57,https://www.lobbyfacts.eu/datacard/eon-se?rid=72760517350-57
91269481588-28,"Novartis International AG",3.25,2500000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,4,92,47,https://www.lobbyfacts.eu/datacard/novartis-international-ag?rid=91269481588-28
9765362691-45,"VDMA e.V.",13.75,2500000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,6,45,81,https://www.lobbyfacts.eu/datacard/vdma-ev?rid=9765362691-45
3183894853-03,"Hill & Knowlton International Belgium",10.5,2345000,"Advances interests of their clients",BELGIUM,BELGIUM,7,181,19,https://www.lobbyfacts.eu/datacard/hill--knowlton-international-belgium?rid=3183894853-03
923424020779-19,"Rasmussen Global",14.5,2270000,"Advances interests of their clients",DENMARK,BELGIUM,17,69,75,https://www.lobbyfacts.eu/datacard/rasmussen-global?rid=923424020779-19
05503341949-54,"Allianz SE",4.55,2250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,4,74,59,https://www.lobbyfacts.eu/datacard/allianz-se?rid=05503341949-54
0764199368-97,"Bundesverband deutscher Banken e.V.",16.25,2250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,46,108,https://www.lobbyfacts.eu/datacard/bundesverband-deutscher-banken-ev?rid=0764199368-97
10405322962-08,"Wirtschaftskammer Österreich",15,2250000,"Promotes their own interests or the collective interests of their members",AUSTRIA,BELGIUM,,3,95,https://www.lobbyfacts.eu/datacard/wirtschaftskammer-österreich?rid=10405322962-08
105450620110-21,"ORLEN S.A.",9.5,2250000,"Promotes their own interests or the collective interests of their members",POLAND,POLAND,5,25,28,https://www.lobbyfacts.eu/datacard/orlen-sa?rid=105450620110-21
24967486965-09,"European Mortgage Federation - European Covered Bond Council",12,2250000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,,78,11,https://www.lobbyfacts.eu/datacard/european-mortgage-federation---european-covered-bond-council?rid=24967486965-09
46643241096-93,"International Swaps and Derivatives Association",4,2250000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,1,36,39,https://www.lobbyfacts.eu/datacard/international-swaps-and-derivatives-association?rid=46643241096-93
