Name,Members FTE,Lobbying cost,Interest represented,Head office,EU office,EP passes on 2026-05-25,all EP passes,Meetings,country_merge,policy_areas
Association pour l'Intermédiation de Données,1.0,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,['Artificial Intelligence']
Plug AS,0.2,10000,Promotes their own interests or the collective interests of their members,Norway,Norway,0.0,0.0,1.0,Norway,['Other']
Owkin,0.1,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,['Artificial Intelligence']
THE GOOD ADVERTISING PROJECT,0.5,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,['Digital Markets']
Oriola Corporation,0.1,10000,Promotes their own interests or the collective interests of their members,Finland,Finland,0.0,0.0,0.0,Finland,"['Artificial Intelligence', 'Transport', 'Health', 'Environment']"
Electreon AB,0.1,10000,Promotes their own interests or the collective interests of their members,Sweden,Sweden,0.0,0.0,0.0,Sweden,"['Artificial Intelligence', 'Transport', 'Environment']"
ENERCLUSTER,0.25,10000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,2.0,Spain,"['Artificial Intelligence', 'Digital Markets', 'Energy', 'Environment']"
Fully-authorised European Alliance for Ticketing,1.25,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,0.0,United Kingdom,"['Artificial Intelligence', 'Digital Markets', 'Trade']"
Fundación Empresarial Comunidad Europea Chile,1.5,10000,Promotes their own interests or the collective interests of their members,Chile,Chile,0.0,0.0,5.0,Chile,['Trade']
Neutron Star Systems DE,1.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Transport']"
XBRL Europe,0.25,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
Supramundane Agency,0.1,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Justice & Rights']"
Deutsche Gesellschaft für Nachhaltiges Bauen – DGNB e.V.,0.4,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Environment']"
Associazione Italiana Ambiente e Sicurezza,0.2,10000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,['Artificial Intelligence']
Association for District Heating of the Czech Republic,0.5,10000,Promotes their own interests or the collective interests of their members,Czech Republic,Czech Republic,0.0,0.0,0.0,Czechia,"['Energy', 'Environment']"
corlife,0.25,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Other']
AKCINĖ BENDROVĖ LIETUVOS ORO UOSTAI,0.25,10000,Promotes their own interests or the collective interests of their members,Lithuania,Lithuania,0.0,0.0,0.0,Lithuania,"['Artificial Intelligence', 'Transport']"
Amuletplus G.K.,0.1,10000,Promotes their own interests or the collective interests of their members,Japan,Japan,0.0,0.0,0.0,Japan,"['Artificial Intelligence', 'Digital Markets']"
IHK Trier,0.2,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Artificial Intelligence']
Transfrontier Euro-Institut Network,1.3,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Transport', 'Health']"
NAFTNA INDUSTRIJA SRBIJE A.D. NOVI SAD,1.0,10000,Promotes their own interests or the collective interests of their members,Serbia,Serbia,0.0,13.0,0.0,Serbia,"['Artificial Intelligence', 'Transport', 'Energy', 'Environment']"
Bremore Ireland Port,0.2,10000,Promotes their own interests or the collective interests of their members,Ireland,Ireland,1.0,1.0,0.0,Ireland,"['Finance & Banking', 'Transport', 'Energy', 'Environment']"
"Company for production, trade and services Stenton Gradba DOO s. Dolno Orizari, Bitola",0.1,10000,Promotes their own interests or the collective interests of their members,North Macedonia,North Macedonia,0.0,0.0,0.0,North Macedonia,['Other']
Raimonda Nikolli,0.1,10000,Promotes their own interests or the collective interests of their members,Albania,Albania,0.0,0.0,0.0,Albania,['Artificial Intelligence']
FEBELAUTO,0.4,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,1.0,1.0,0.0,Belgium,"['Transport', 'Environment']"
PRO MEHRWEG - Verband zur Förderung von Mehrwegverpackungen e.V.,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Energy', 'Environment']"
Studio Dott. Armando Salierno,0.25,10000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,['Trade']
HyImpulse Technologies,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Transport', 'Environment']"
GPC INSTRUMENTATION PROCESS,0.1,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Trade']"
A.S.T. s.r.l.,0.25,10000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,"['Digital Markets', 'Health']"
Njordur Holding ehf.,1.0,10000,Promotes their own interests or the collective interests of their members,Iceland,Iceland,0.0,0.0,1.0,Iceland,['Other']
Pan European Game Information,0.5,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,1.0,1.0,4.0,Belgium,"['Artificial Intelligence', 'Digital Markets']"
Ediphy Analytics Ltd,0.1,10000,Promotes their own interests or the collective interests of their members,United Kingdom,Netherlands,0.0,0.0,3.0,United Kingdom,['Finance & Banking']
International Betting Integrity Association,0.35,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,2.0,4.0,Belgium,"['Artificial Intelligence', 'Digital Markets']"
"Society for Clinical Data Management, inc",0.1,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,['Health']
Asociación Cerveceros de Espana,1.0,10000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,0.0,Spain,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Trade', 'Environment']"
Teijin Holdings Europe,0.35,10000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,0.0,Netherlands,"['Artificial Intelligence', 'Health', 'Environment']"
Duty Free World Council,0.5,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,"['Artificial Intelligence', 'Transport', 'Trade']"
LGC Limited,0.1,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,0.0,United Kingdom,"['Agriculture', 'Health']"
MOWA Defense,0.1,10000,Promotes their own interests or the collective interests of their members,Ukraine,Ukraine,0.0,0.0,2.0,Ukraine,['Artificial Intelligence']
CEC Tanácsadó Kft.,0.1,10000,Advances interests of their clients,Hungary,Hungary,0.0,0.0,1.0,Hungary,"['Artificial Intelligence', 'Health', 'Energy', 'Environment', 'Justice & Rights']"
Danmarks Biavlerforening,0.3,10000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,0.0,0.0,0.0,Denmark,['Other']
Union des industries et entreprises de l'eau,0.1,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,2.0,France,['Artificial Intelligence']
Nederlandse Aardappel Organisatie,0.1,10000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,0.0,Netherlands,['Trade']
Sveriges Unga Aktiesparares Riksförbund,0.2,10000,Promotes their own interests or the collective interests of their members,Sweden,Sweden,0.0,0.0,2.0,Sweden,"['Artificial Intelligence', 'Finance & Banking']"
Women's Brain Foundation,1.25,10000,Promotes their own interests or the collective interests of their members,Switzerland,Switzerland,0.0,0.0,0.0,Switzerland,"['Artificial Intelligence', 'Health']"
Bulgaria Sat EAD,0.1,10000,Promotes their own interests or the collective interests of their members,Bulgaria,Bulgaria,0.0,0.0,0.0,Bulgaria,['Other']
European Platform for the Responsible use of medicines in animals,0.2,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,2.0,5.0,1.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Health', 'Environment']"
"Inštitut za nutricionistiko, Ljubljana",0.2,10000,Promotes their own interests or the collective interests of their members,Slovenia,Slovenia,0.0,0.0,0.0,Slovenia,['Health']
CESMAD BOHEMIA  z.s.,0.2,10000,Promotes their own interests or the collective interests of their members,Czech Republic,Czech Republic,0.0,0.0,2.0,Czechia,['Transport']
Pluriton Netherlands,1.75,10000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,1.0,Netherlands,"['Transport', 'Trade']"
European Strategic Intelligence and Security Center,0.1,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,['Artificial Intelligence']
Brancheforeningen For Tech Startups I Danmark,0.1,10000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,0.0,0.0,0.0,Denmark,"['Artificial Intelligence', 'Finance & Banking', 'Trade', 'Environment', 'Justice & Rights']"
William Fry LLP,0.1,10000,Promotes their own interests or the collective interests of their members,Ireland,Ireland,0.0,0.0,0.0,Ireland,"['Artificial Intelligence', 'Finance & Banking', 'Justice & Rights']"
Conseil national de l'Ordre des chirurgiens-dentistes,0.5,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,8.0,0.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Health', 'Trade']"
AffectLog,1.0,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,['Artificial Intelligence']
Iknaio Cryptoasset Analytics GmbH,1.0,10000,Promotes their own interests or the collective interests of their members,Austria,Austria,0.0,0.0,0.0,Austria,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Health']"
Imaging Consumables Coalition of Europe,0.25,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,0.0,United Kingdom,['Other']
Association Française de Commercialisation et de Mélange d'Engrais,0.2,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,2.0,France,"['Artificial Intelligence', 'Health', 'Energy', 'Trade', 'Environment']"
Vereon AG,0.1,10000,Promotes their own interests or the collective interests of their members,Switzerland,Switzerland,0.0,0.0,0.0,Switzerland,['Finance & Banking']
MarketAxess NL B.V.,0.5,10000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,2.0,Netherlands,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Trade']"
Philippines Netherlands Business Council,0.5,10000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,0.0,Netherlands,['Trade']
AXELEROS,1.5,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,2.0,0.0,Belgium,"['Artificial Intelligence', 'Health']"
Altan Pharmaceuticals,1.0,10000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,0.0,Spain,['Health']
AP Valletta Ltd,0.1,10000,Promotes their own interests or the collective interests of their members,Malta,Malta,0.0,0.0,0.0,Malta,"['Artificial Intelligence', 'Energy', 'Environment']"
APc - Affaires Publiques consultants,0.75,10000,Advances interests of their clients,France,France,0.0,0.0,1.0,France,"['Artificial Intelligence', 'Digital Markets', 'Health', 'Energy', 'Environment']"
Cubbit Srl,0.1,10000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,"['Artificial Intelligence', 'Digital Markets']"
EverydaySpy,0.1,10000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,0.0,0.0,United States,['Other']
Czechocar CZ spol sro,0.1,10000,Promotes their own interests or the collective interests of their members,Czech Republic,Czech Republic,0.0,0.0,0.0,Czechia,['Environment']
Incite Public Affairs,1.0,10000,Advances interests of their clients,Belgium,Belgium,1.0,2.0,0.0,Belgium,"['Artificial Intelligence', 'Health']"
Summa Equity AB,1.0,10000,Promotes their own interests or the collective interests of their members,Sweden,Sweden,0.0,0.0,0.0,Sweden,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Energy', 'Environment']"
ExeVir Bio,0.1,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,1.0,Belgium,"['Digital Markets', 'Health']"
Lietuvos lazerių asociacija,0.1,10000,Promotes their own interests or the collective interests of their members,Lithuania,Lithuania,0.0,0.0,1.0,Lithuania,"['Artificial Intelligence', 'Energy']"
Calcarea Inc,0.2,10000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,0.0,1.0,United States,"['Artificial Intelligence', 'Energy', 'Trade']"
Gong,0.7,10000,Promotes their own interests or the collective interests of their members,Croatia,Croatia,0.0,0.0,0.0,Croatia,"['Artificial Intelligence', 'Digital Markets', 'Justice & Rights']"
SWISOX - The Sustainable Marketplace SA,0.1,10000,Promotes their own interests or the collective interests of their members,Switzerland,Switzerland,0.0,0.0,0.0,Switzerland,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
CEDAG - Comité Européen des Associations d'intérêt Général - European Council for non-profit organisations,0.25,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,13.0,0.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Justice & Rights']"
Orchard Therapeutics,0.1,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,0.0,United Kingdom,"['Artificial Intelligence', 'Health']"
Sea the Change srl,0.2,10000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,"['Artificial Intelligence', 'Finance & Banking']"
Verband Kunststoffabgasanlagen,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Energy', 'Environment']"
"Akcionersko drustvo fabrika za cokoladi, vafli i bonboni Evropa-Skopje",0.1,10000,Promotes their own interests or the collective interests of their members,North Macedonia,North Macedonia,0.0,0.0,0.0,North Macedonia,"['Finance & Banking', 'Trade']"
ASAinfo,0.25,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,['Artificial Intelligence']
Origin Robotics SIA,0.1,10000,Promotes their own interests or the collective interests of their members,Latvia,Latvia,0.0,0.0,0.0,Latvia,['Artificial Intelligence']
Viride,0.2,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Other']
European Competition Lawyers Forum,0.25,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,2.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking']"
Sabine Muscat,0.1,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,['Artificial Intelligence']
PROG Producers of Germany,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,1.0,1.0,2.0,Germany,"['Artificial Intelligence', 'Digital Markets']"
CorPower Ocean AB,0.1,10000,Promotes their own interests or the collective interests of their members,Sweden,Sweden,0.0,0.0,1.0,Sweden,"['Artificial Intelligence', 'Finance & Banking', 'Energy']"
"Company for trade, sales and services Mey Energy LLC Skopje",0.1,10000,Promotes their own interests or the collective interests of their members,North Macedonia,North Macedonia,0.0,0.0,0.0,North Macedonia,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Energy', 'Trade', 'Environment']"
Raw Advice I/S,0.1,10000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,0.0,0.0,0.0,Denmark,['Environment']
Federación de Distribuidores Cinematográficos (FEDICINE),0.25,10000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,1.0,Spain,['Artificial Intelligence']
Norsk Hydrogenforum,0.2,10000,Promotes their own interests or the collective interests of their members,Norway,Norway,0.0,0.0,0.0,Norway,['Artificial Intelligence']
CONFEDERACIÓN ESPAÑOLA DE INDUSTRIAS EXTRACTIVAS DE ROCAS Y MINERALES INDUSTRIALES,0.25,10000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,0.0,Spain,"['Artificial Intelligence', 'Transport', 'Health', 'Environment']"
Free Insurance Data Initiative,1.25,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Health']"
Institut océanographique Paul Ricard,2.0,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,['Environment']
RebelDot Solutions,0.1,10000,Promotes their own interests or the collective interests of their members,Romania,Romania,0.0,0.0,0.0,Romania,['Artificial Intelligence']
Union des industriels pour la valorisation des extraits de chanvre,0.1,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,"['Artificial Intelligence', 'Agriculture', 'Health']"
Die HausWirtschaft e.Gen.,0.1,10000,Promotes their own interests or the collective interests of their members,Austria,Austria,0.0,0.0,0.0,Austria,['Other']
Optit srl,0.35,10000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,"['Artificial Intelligence', 'Transport', 'Energy', 'Environment']"
O.D.N.V.,0.1,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,0.0,France,"['Agriculture', 'Trade']"
CC Taxicenter GmbH,0.1,10000,Promotes their own interests or the collective interests of their members,Austria,Austria,0.0,0.0,0.0,Austria,"['Transport', 'Environment']"
AFECOR - European Control Manufacturers Association,0.2,10000,Promotes their own interests or the collective interests of their members,Belgium,Germany,0.0,0.0,0.0,Belgium,['Energy']
DIATEAM,1.0,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,2.0,France,['Artificial Intelligence']
Apetit SH.P.K.,0.1,10000,Promotes their own interests or the collective interests of their members,Kosovo (*),Kosovo (*),0.0,0.0,0.0,Kosovo (*),"['Artificial Intelligence', 'Agriculture', 'Health', 'Trade']"
O'Connor and Company European Lawyers,0.1,10000,Advances interests of their clients,Belgium,Belgium,1.0,3.0,2.0,Belgium,['Trade']
ASOCIACION ESPAÑOLA DEL GAS,0.1,10000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,4.0,3.0,Spain,"['Artificial Intelligence', 'Energy', 'Environment']"
Verian Group sa,0.1,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,['Other']
NBX,0.1,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Environment']"
The Football Forum,0.3,10000,Promotes their own interests or the collective interests of their members,Switzerland,Switzerland,0.0,0.0,1.0,Switzerland,['Other']
ORGANISATION DES TRANSPORTEURS ROUTIERS EUROPEENS,1.1,10000,Promotes their own interests or the collective interests of their members,France,France,0.0,0.0,1.0,France,"['Artificial Intelligence', 'Transport']"
UpCloud Oy,0.3,10000,Promotes their own interests or the collective interests of their members,Finland,Finland,0.0,0.0,3.0,Finland,"['Artificial Intelligence', 'Digital Markets']"
HANZA MEDIA,0.1,10000,Promotes their own interests or the collective interests of their members,Croatia,Croatia,0.0,0.0,0.0,Croatia,"['Artificial Intelligence', 'Digital Markets']"
M3 Systems Belgium,0.2,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,"['Transport', 'Environment']"
Informa Connect,0.1,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,0.0,United Kingdom,"['Artificial Intelligence', 'Digital Markets']"
Agricultural Crop Licensing Platform,0.5,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Agriculture']"
Hotelsko - ugostitelsko akcionersko drustvo Ohridturist Ohrid,0.1,10000,Promotes their own interests or the collective interests of their members,North Macedonia,North Macedonia,0.0,0.0,0.0,North Macedonia,"['Artificial Intelligence', 'Finance & Banking', 'Health', 'Environment']"
Distrigaz Sud Retele,0.25,10000,Promotes their own interests or the collective interests of their members,Romania,Romania,0.0,5.0,2.0,Romania,"['Artificial Intelligence', 'Energy', 'Environment']"
Discovery Capital Management,0.1,10000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,0.0,2.0,United States,['Finance & Banking']
Freta GmbH,0.5,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,8.0,0.0,Germany,"['Artificial Intelligence', 'Environment']"
ASP-PAK dooel Ohrid,0.3,10000,Promotes their own interests or the collective interests of their members,North Macedonia,North Macedonia,0.0,0.0,0.0,North Macedonia,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Transport', 'Energy']"
European Association for Passive Fire Protection,1.0,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,0.0,United Kingdom,"['Artificial Intelligence', 'Energy', 'Trade', 'Environment']"
NYALA Digital Asset AG,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Finance & Banking']"
Formula 1,0.2,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,2.0,2.0,0.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy']"
Bundesarbeitsgemeinschaft Werkstätten für behinderte Menschen e.V.,0.5,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Other']
Eircom Ltd t/a eir,0.1,10000,Promotes their own interests or the collective interests of their members,Ireland,Ireland,0.0,0.0,0.0,Ireland,"['Artificial Intelligence', 'Digital Markets']"
Asociația Națională pentru Băuturi Răcoritoare,0.1,10000,Promotes their own interests or the collective interests of their members,Romania,Romania,0.0,0.0,0.0,Romania,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
"EMVCo, LLC",0.2,10000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,0.0,0.0,United States,['Artificial Intelligence']
Krajowy Związek Pracodawców Producentów Trzody Chlewnej POLPIG,0.2,10000,Promotes their own interests or the collective interests of their members,Poland,Poland,0.0,0.0,3.0,Poland,['Other']
Technical Road Transport Association,0.1,10000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,0.0,Netherlands,"['Artificial Intelligence', 'Transport', 'Energy']"
Australian Chamber of Commerce and Industry,0.3,10000,Promotes their own interests or the collective interests of their members,Australia,Australia,0.0,0.0,0.0,Australia,['Trade']
SHS - Stahl-Holding-Saar,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Energy', 'Trade', 'Environment']"
Bundesverband des Elektro-Großhandels (VEG) e.V.,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Environment']"
Sozialverband Deutschland,0.25,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,1.0,Germany,['Other']
"Zájmové sdružení právnických osob, Interoperabilita železniční infrastruktury",0.2,10000,Promotes their own interests or the collective interests of their members,Czech Republic,Czech Republic,0.0,3.0,0.0,Czechia,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport']"
Swedish Medtech,0.1,10000,Promotes their own interests or the collective interests of their members,Sweden,Sweden,0.0,0.0,0.0,Sweden,"['Artificial Intelligence', 'Health', 'Environment']"
FH-Freie Heilpraktiker e.V. Berufs- und Fachverband,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Other']
Stowarzyszenie Rzeźników i Wędliniarzy Rzeczypospolitej Polskiej,0.1,10000,Promotes their own interests or the collective interests of their members,Poland,Poland,0.0,0.0,1.0,Poland,"['Transport', 'Trade']"
Accurec Recycling GmbH,0.2,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Other']
Deutsche Hauptstelle für Suchtfragen e.V.,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Other']
NEC Corporation,0.1,10000,Promotes their own interests or the collective interests of their members,Japan,Japan,0.0,0.0,2.0,Japan,"['Artificial Intelligence', 'Digital Markets']"
International Society for Stem Cell Research,0.2,10000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,1.0,1.0,United States,['Health']
Open Source Business Alliance - Bundesverband für digitale Souveränität e.V.,0.1,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,"['Artificial Intelligence', 'Digital Markets']"
Redlap Consulting Ltd,1.0,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,2.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking']"
Kronospan PLC,0.1,10000,Promotes their own interests or the collective interests of their members,Cyprus,Cyprus,0.0,0.0,0.0,Cyprus,['Artificial Intelligence']
Association of Social Democratic Municipalities,0.5,10000,Promotes their own interests or the collective interests of their members,Turkey,Belgium,1.0,13.0,6.0,Turkey,['Artificial Intelligence']
EQUIPOS MÓVILES DE CAMPAÑA ARPA SAU,0.1,10000,Promotes their own interests or the collective interests of their members,Spain,Spain,0.0,0.0,1.0,Spain,"['Artificial Intelligence', 'Energy', 'Environment']"
Rønne Havn A/S,1.25,10000,Promotes their own interests or the collective interests of their members,Denmark,Denmark,0.0,0.0,0.0,Denmark,"['Transport', 'Energy']"
"Euroffice Praha - Brusel, a. s.",0.1,10000,Advances interests of their clients,Czech Republic,Czech Republic,0.0,0.0,0.0,Czechia,"['Artificial Intelligence', 'Energy', 'Environment']"
Association of European Coeliac Societies,0.1,10000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,0.0,0.0,0.0,Belgium,"['Artificial Intelligence', 'Agriculture']"
"SOMAFEL, Engenharia e Obras Ferroviárias",0.1,10000,Promotes their own interests or the collective interests of their members,Portugal,Portugal,0.0,0.0,1.0,Portugal,"['Artificial Intelligence', 'Transport']"
LAMDA Development Ανώνυμη Εταιρεία Συμμετοχών και Αξιοποίησης Ακινήτων,0.1,10000,Promotes their own interests or the collective interests of their members,Greece,Greece,0.0,0.0,1.0,Greece,"['Artificial Intelligence', 'Environment']"
Panaro Services B.V.,0.2,10000,Promotes their own interests or the collective interests of their members,Netherlands,Netherlands,0.0,0.0,0.0,Netherlands,"['Artificial Intelligence', 'Transport']"
CERTIQUALITY S.r.l.,1.0,10000,Promotes their own interests or the collective interests of their members,Italy,Italy,0.0,0.0,0.0,Italy,"['Artificial Intelligence', 'Environment']"
Studio Valla European Consulting,1.0,10000,Advances interests of their clients,Italy,Belgium,1.0,6.0,1.0,Italy,"['Artificial Intelligence', 'Finance & Banking', 'Energy']"
VLF Thüringen,0.2,10000,Promotes their own interests or the collective interests of their members,Germany,Germany,0.0,0.0,0.0,Germany,['Digital Markets']
Union for Ethical BioTrade (UEBT),0.25,10000,Promotes their own interests or the collective interests of their members,Switzerland,Switzerland,0.0,0.0,0.0,Switzerland,"['Artificial Intelligence', 'Agriculture', 'Health', 'Trade', 'Environment']"
Terrafame Oy,0.3,10000,Promotes their own interests or the collective interests of their members,Finland,Finland,0.0,0.0,2.0,Finland,['Artificial Intelligence']
The British Antique Dealers' Association,0.1,10000,Promotes their own interests or the collective interests of their members,United Kingdom,United Kingdom,0.0,0.0,0.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Trade', 'Environment']"
Eurobank Bulgaria AD,0.1,10000,Promotes their own interests or the collective interests of their members,Bulgaria,Bulgaria,0.0,0.0,0.0,Bulgaria,"['Artificial Intelligence', 'Finance & Banking', 'Environment']"
Astrolight,0.4,10000,Promotes their own interests or the collective interests of their members,Lithuania,Lithuania,0.0,0.0,0.0,Lithuania,['Artificial Intelligence']
