Name,Members FTE,Lobbying cost,Interest represented,Head office,EU office,EP passes on 2026-05-25,all EP passes,Meetings,country_merge,policy_areas
Plastics Europe,15.0,4000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,6.0,99.0,58.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Energy', 'Environment']"
European Banking Federation,12.85,4000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,11.0,260.0,112.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets']"
Fédération bancaire française,15.2,3500000,Promotes their own interests or the collective interests of their members,France,Belgium,4.0,62.0,135.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Trade']"
Bundesverband der Deutschen Industrie e.V.,12.35,3500000,Promotes their own interests or the collective interests of their members,Germany,Belgium,14.0,147.0,264.0,Germany,['Other']
BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.,13.75,3500000,Promotes their own interests or the collective interests of their members,Germany,Belgium,5.0,107.0,54.0,Germany,['Energy']
British American Tobacco,4.75,3500000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,11.0,106.0,4.0,United Kingdom,"['Artificial Intelligence', 'Trade', 'Environment']"
Samsung Electronics Europe,12.75,3500000,Promotes their own interests or the collective interests of their members,United Kingdom,Belgium,9.0,84.0,50.0,United Kingdom,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Energy', 'Environment']"
Siemens AG,8.65,3500000,Promotes their own interests or the collective interests of their members,Germany,Belgium,10.0,146.0,146.0,Germany,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade', 'Environment']"
DIGITALEUROPE,26.7,3500000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,32.0,243.0,261.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
Penta,27.75,3480000,Advances interests of their clients,United States,Belgium,11.0,294.0,47.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Transport', 'Energy', 'Trade', 'Environment']"
EPPA SA,32.5,3460000,Advances interests of their clients,Belgium,Belgium,17.0,198.0,34.0,Belgium,"['Artificial Intelligence', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
